id,country_id,country_name,capital_name,latitude,longitude,continent,region,iso_code,alternative_spellings,localized_names,decision,source_id
DE,DE,Germany,Berlin,52.523765,13.399603,Europe,Western Europe,DE,,"{""en"": ""Berlin"", ""de"": ""Berlin"", ""es"": ""Berlín"", ""fr"": ""Berlin"", ""pt"": ""Berlim"", ""ru"": ""Берлин"", ""zh"": ""柏林"", ""ar"": ""برلين"", ""bn"": ""বার্লিন"", ""el"": ""Βερολίνο"", ""hi"": ""बर्लिन"", ""hu"": ""Berlin"", ""id"": ""Berlin"", ""it"": ""Berlino"", ""ja"": ""ベルリン"", ""ko"": ""베를린"", ""nl"": ""Berlijn"", ""pl"": ""Berlin"", ""sv"": ""Berlin"", ""tr"": ""Berlin"", ""vi"": ""Berlin"", ""fa"": ""برلین"", ""he"": ""ברלין"", ""uk"": ""Берлін"", ""ur"": ""برلن"", ""zht"": ""柏林""}",One national capital selected for pilot,1159151529
DZ,DZ,Algeria,Algiers,36.765011,3.048607,Africa,Northern Africa,DZ,El Djazacr,"{""en"": ""Algiers"", ""de"": ""Algier"", ""es"": ""Argel"", ""fr"": ""Alger"", ""pt"": ""Argel"", ""ru"": ""Алжир"", ""zh"": ""阿尔及尔"", ""ar"": ""الجزائر"", ""bn"": ""আলজিয়ার্স"", ""el"": ""Αλγέρι"", ""hi"": ""अल्जीयर्स"", ""hu"": ""Algír"", ""id"": ""Aljir"", ""it"": ""Algeri"", ""ja"": ""アルジェ"", ""ko"": ""알제"", ""nl"": ""Algiers"", ""pl"": ""Algier"", ""sv"": ""Alger"", ""tr"": ""Cezayir"", ""vi"": ""Algiers"", ""fa"": ""الجزیره"", ""he"": ""אלג'יר"", ""uk"": ""Алжир"", ""ur"": ""الجزائر شہر"", ""zht"": ""阿爾及爾""}",One national capital selected for expanded purposive sample.,1159151471
EG,EG,Egypt,Cairo,30.051906,31.248022,Africa,Northern Africa,EG,Al-Qahirah,"{""en"": ""Cairo"", ""de"": ""Kairo"", ""es"": ""El Cairo"", ""fr"": ""Le Caire"", ""pt"": ""Cairo"", ""ru"": ""Каир"", ""zh"": ""开罗"", ""ar"": ""القاهرة"", ""bn"": ""কায়রো"", ""el"": ""Κάιρο"", ""hi"": ""काहिरा"", ""hu"": ""Kairó"", ""id"": ""Kairo"", ""it"": ""Il Cairo"", ""ja"": ""カイロ"", ""ko"": ""카이로"", ""nl"": ""Caïro"", ""pl"": ""Kair"", ""sv"": ""Kairo"", ""tr"": ""Kahire"", ""vi"": ""Cairo"", ""fa"": ""قاهره"", ""he"": ""קהיר"", ""uk"": ""Каїр"", ""ur"": ""قاہرہ"", ""zht"": ""開羅""}",One national capital selected for pilot,1159151603
ES,ES,Spain,Madrid,40.401972,-3.685298,Europe,Southern Europe,ES,,"{""en"": ""Madrid"", ""de"": ""Madrid"", ""es"": ""Madrid"", ""fr"": ""Madrid"", ""pt"": ""Madrid"", ""ru"": ""Мадрид"", ""zh"": ""马德里"", ""ar"": ""مدريد"", ""bn"": ""মাদ্রিদ"", ""el"": ""Μαδρίτη"", ""hi"": ""मद्रिद"", ""hu"": ""Madrid"", ""id"": ""Madrid"", ""it"": ""Madrid"", ""ja"": ""マドリード"", ""ko"": ""마드리드"", ""nl"": ""Madrid"", ""pl"": ""Madryt"", ""sv"": ""Madrid"", ""tr"": ""Madrid"", ""vi"": ""Madrid"", ""fa"": ""مادرید"", ""he"": ""מדריד"", ""uk"": ""Мадрид"", ""ur"": ""میدرد"", ""zht"": ""馬德里""}",One national capital selected for expanded purposive sample.,1159151503
ET,ET,Ethiopia,Addis Ababa,9.035256,38.698059,Africa,Eastern Africa,ET,,"{""en"": ""Addis Ababa"", ""de"": ""Addis Abeba"", ""es"": ""Adís Abeba"", ""fr"": ""Addis-Abeba"", ""pt"": ""Adis Abeba"", ""ru"": ""Аддис-Абеба"", ""zh"": ""亚的斯亚贝巴"", ""ar"": ""أديس أبابا"", ""bn"": ""আদ্দিস আবাবা"", ""el"": ""Αντίς Αμπέμπα"", ""hi"": ""अदीस अबाबा"", ""hu"": ""Addisz-Abeba"", ""id"": ""Addis Ababa"", ""it"": ""Addis Abeba"", ""ja"": ""アディスアベバ"", ""ko"": ""아디스아바바"", ""nl"": ""Addis Abeba"", ""pl"": ""Addis Abeba"", ""sv"": ""Addis Abeba"", ""tr"": ""Addis Ababa"", ""vi"": ""Addis Ababa"", ""fa"": ""آدیس آبابا"", ""he"": ""אדיס אבבה"", ""uk"": ""Аддис-Абеба"", ""ur"": ""ادیس ابابا"", ""zht"": ""阿迪斯阿貝巴""}",One national capital selected for expanded purposive sample.,1159151549
FI,FI,Finland,Helsinki,60.177509,24.932181,Europe,Northern Europe,FI,,"{""en"": ""Helsinki"", ""de"": ""Helsinki"", ""es"": ""Helsinki"", ""fr"": ""Helsinki"", ""pt"": ""Helsínquia"", ""ru"": ""Хельсинки"", ""zh"": ""赫尔辛基"", ""ar"": ""هلسنكي"", ""bn"": ""হেলসিঙ্কি"", ""el"": ""Ελσίνκι"", ""hi"": ""हेलसिंकी"", ""hu"": ""Helsinki"", ""id"": ""Helsinki"", ""it"": ""Helsinki"", ""ja"": ""ヘルシンキ"", ""ko"": ""헬싱키"", ""nl"": ""Helsinki"", ""pl"": ""Helsinki"", ""sv"": ""Helsingfors"", ""tr"": ""Helsinki"", ""vi"": ""Helsinki"", ""fa"": ""هلسینکی"", ""he"": ""הלסינקי"", ""uk"": ""Гельсінкі"", ""ur"": ""ہلسنکی"", ""zht"": ""赫爾辛基""}",One national capital selected for expanded purposive sample.,1159151419
FJ,FJ,Fiji,Suva,-18.133016,178.441707,Oceania,Melanesia,FJ,,"{""en"": ""Suva"", ""de"": ""Suva"", ""es"": ""Suva"", ""fr"": ""Suva"", ""pt"": ""Suva"", ""ru"": ""Сува"", ""zh"": ""苏瓦"", ""ar"": ""سوفا"", ""bn"": ""সুভা"", ""el"": ""Σούβα"", ""hi"": ""सुवा"", ""hu"": ""Suva"", ""id"": ""Suva"", ""it"": ""Suva"", ""ja"": ""スバ"", ""ko"": ""수바"", ""nl"": ""Suva"", ""pl"": ""Suva"", ""sv"": ""Suva"", ""tr"": ""Suva"", ""vi"": ""Suva"", ""fa"": ""سووا"", ""he"": ""סובה"", ""uk"": ""Сува"", ""ur"": ""سووا"", ""zht"": ""蘇瓦""}",One national capital selected for pilot,1159150917
FR,FR,France,Paris,48.868639,2.33139,Europe,Western Europe,FR,,"{""en"": ""Paris"", ""de"": ""Paris"", ""es"": ""París"", ""fr"": ""Paris"", ""pt"": ""Paris"", ""ru"": ""Париж"", ""zh"": ""巴黎"", ""ar"": ""باريس"", ""bn"": ""প্যারিস"", ""el"": ""Παρίσι"", ""hi"": ""पैरिस"", ""hu"": ""Párizs"", ""id"": ""Paris"", ""it"": ""Parigi"", ""ja"": ""パリ"", ""ko"": ""파리"", ""nl"": ""Parijs"", ""pl"": ""Paryż"", ""sv"": ""Paris"", ""tr"": ""Paris"", ""vi"": ""Paris"", ""fa"": ""پاریس"", ""he"": ""פריז"", ""uk"": ""Париж"", ""ur"": ""پیرس"", ""zht"": ""巴黎""}",One national capital selected for pilot,1159151613
GB,GB,United Kingdom,London,51.501941,-0.118668,Europe,Northern Europe,GB,,"{""en"": ""London"", ""de"": ""London"", ""es"": ""Londres"", ""fr"": ""Londres"", ""pt"": ""Londres"", ""ru"": ""Лондон"", ""zh"": ""伦敦"", ""ar"": ""لندن"", ""bn"": ""লন্ডন"", ""el"": ""Λονδίνο"", ""hi"": ""लंदन"", ""hu"": ""London"", ""id"": ""London"", ""it"": ""Londra"", ""ja"": ""ロンドン"", ""ko"": ""런던"", ""nl"": ""Londen"", ""pl"": ""Londyn"", ""sv"": ""London"", ""tr"": ""Londra"", ""vi"": ""Luân Đôn"", ""fa"": ""لندن"", ""he"": ""לונדון"", ""uk"": ""Лондон"", ""ur"": ""لندن"", ""zht"": ""倫敦""}",One national capital selected for pilot,1159151577
GH,GH,Ghana,Accra,5.551981,-0.218662,Africa,Western Africa,GH,,"{""en"": ""Accra"", ""de"": ""Accra"", ""es"": ""Acra"", ""fr"": ""Accra"", ""pt"": ""Acra"", ""ru"": ""Аккра"", ""zh"": ""阿克拉"", ""ar"": ""أكرا"", ""bn"": ""আক্রা"", ""el"": ""Άκκρα"", ""hi"": ""अक्रा"", ""hu"": ""Accra"", ""id"": ""Accra"", ""it"": ""Accra"", ""ja"": ""アクラ"", ""ko"": ""아크라"", ""nl"": ""Accra"", ""pl"": ""Akra"", ""sv"": ""Accra"", ""tr"": ""Akra"", ""vi"": ""Accra"", ""fa"": ""آکرا"", ""he"": ""אקרה"", ""uk"": ""Аккра"", ""ur"": ""اکرا"", ""zht"": ""阿克拉""}",One national capital selected for expanded purposive sample.,1159151403
GR,GR,Greece,Athens,37.985272,23.731375,Europe,Southern Europe,GR,Athinai,"{""en"": ""Athens"", ""de"": ""Athen"", ""es"": ""Atenas"", ""fr"": ""Athènes"", ""pt"": ""Atenas"", ""ru"": ""Афины"", ""zh"": ""雅典"", ""ar"": ""أثينا"", ""bn"": ""অ্যাথেন্স"", ""el"": ""Αθήνα"", ""hi"": ""एथेंस"", ""hu"": ""Athén"", ""id"": ""Athena"", ""it"": ""Atene"", ""ja"": ""アテネ"", ""ko"": ""아테네"", ""nl"": ""Athene"", ""pl"": ""Ateny"", ""sv"": ""Aten"", ""tr"": ""Atina"", ""vi"": ""Athena"", ""fa"": ""آتن"", ""he"": ""אתונה"", ""uk"": ""Афіни"", ""ur"": ""ایتھنز"", ""zht"": ""雅典""}",One national capital selected for expanded purposive sample.,1159151545
IN,IN,India,New Delhi,28.600023,77.19998,Asia,Southern Asia,IN,,"{""en"": ""New Delhi"", ""de"": ""Neu-Delhi"", ""es"": ""Nueva Delhi"", ""fr"": ""New Delhi"", ""pt"": ""Nova Deli"", ""ru"": ""Нью-Дели"", ""zh"": ""新德里"", ""ar"": ""نيودلهي"", ""bn"": ""নতুন দিল্লি"", ""el"": ""Νέο Δελχί"", ""hi"": ""नई दिल्ली"", ""hu"": ""Új-Delhi"", ""id"": ""New Delhi"", ""it"": ""Nuova Delhi"", ""ja"": ""ニューデリー"", ""ko"": ""뉴델리"", ""nl"": ""New Delhi"", ""pl"": ""Nowe Delhi"", ""sv"": ""New Delhi"", ""tr"": ""Yeni Delhi"", ""vi"": ""New Delhi"", ""fa"": ""دهلی نو"", ""he"": ""ניו דלהי"", ""uk"": ""Нью-Делі"", ""ur"": ""نئی دہلی"", ""zht"": ""新德里""}",One national capital selected for pilot,1159151541
IT,IT,Italy,Rome,41.897902,12.481313,Europe,Southern Europe,IT,,"{""en"": ""Rome"", ""de"": ""Rom"", ""es"": ""Roma"", ""fr"": ""Rome"", ""pt"": ""Roma"", ""ru"": ""Рим"", ""zh"": ""罗马"", ""ar"": ""روما"", ""bn"": ""রোম"", ""el"": ""Ρώμη"", ""hi"": ""रोम"", ""hu"": ""Róma"", ""id"": ""Roma"", ""it"": ""Roma"", ""ja"": ""ローマ"", ""ko"": ""로마"", ""nl"": ""Rome"", ""pl"": ""Rzym"", ""sv"": ""Rom"", ""tr"": ""Roma"", ""vi"": ""Roma"", ""fa"": ""رم"", ""he"": ""רומא"", ""uk"": ""Рим"", ""ur"": ""روم"", ""zht"": ""羅馬""}",One national capital selected for expanded purposive sample.,1159151593
JP,JP,Japan,Tokyo,35.686963,139.749462,Asia,Eastern Asia,JP,,"{""en"": ""Tokyo"", ""de"": ""Tokio"", ""es"": ""Tokio"", ""fr"": ""Tokyo"", ""pt"": ""Tóquio"", ""ru"": ""Токио"", ""zh"": ""东京"", ""ar"": ""طوكيو"", ""bn"": ""টোকিও"", ""el"": ""Τόκιο"", ""hi"": ""टोक्यो"", ""hu"": ""Tokió"", ""id"": ""Tokyo"", ""it"": ""Tokyo"", ""ja"": ""東京都"", ""ko"": ""도쿄도"", ""nl"": ""Tokio"", ""pl"": ""Tokio"", ""sv"": ""Tokyo prefektur"", ""tr"": ""Tokyo"", ""vi"": ""Tokyo"", ""fa"": ""توکیو"", ""he"": ""טוקיו"", ""uk"": ""Токіо"", ""ur"": ""توکیو"", ""zht"": ""東京""}",One national capital selected for pilot,1159151609
KE,KE,Kenya,Nairobi,-1.281401,36.814711,Africa,Eastern Africa,KE,,"{""en"": ""Nairobi"", ""de"": ""Nairobi"", ""es"": ""Nairobi"", ""fr"": ""Nairobi"", ""pt"": ""Nairóbi"", ""ru"": ""Найроби"", ""zh"": ""内罗毕"", ""ar"": ""نيروبي"", ""bn"": ""নাইরোবি"", ""el"": ""Ναϊρόμπι"", ""hi"": ""नैरोबी"", ""hu"": ""Nairobi"", ""id"": ""Nairobi"", ""it"": ""Nairobi"", ""ja"": ""ナイロビ"", ""ko"": ""나이로비"", ""nl"": ""Nairobi"", ""pl"": ""Nairobi"", ""sv"": ""Nairobi"", ""tr"": ""Nairobi"", ""vi"": ""Nairobi"", ""fa"": ""نایروبی"", ""he"": ""ניירובי"", ""uk"": ""Найробі"", ""ur"": ""نیروبی"", ""zht"": ""奈洛比""}",One national capital selected for pilot,1159151597
KR,KR,South Korea,Seoul,37.568295,126.997785,Asia,Eastern Asia,KR,,"{""en"": ""Seoul"", ""de"": ""Seoul"", ""es"": ""Seúl"", ""fr"": ""Séoul"", ""pt"": ""Seul"", ""ru"": ""Сеул"", ""zh"": ""首尔"", ""ar"": ""سول"", ""bn"": ""সিউল"", ""el"": ""Σεούλ"", ""hi"": ""सियोल"", ""hu"": ""Szöul"", ""id"": ""Seoul"", ""it"": ""Seul"", ""ja"": ""ソウル特別市"", ""ko"": ""서울특별시"", ""nl"": ""Seoel"", ""pl"": ""Seul"", ""sv"": ""Seoul"", ""tr"": ""Seul"", ""vi"": ""Seoul"", ""fa"": ""سئول"", ""he"": ""סיאול"", ""uk"": ""Сеул"", ""ur"": ""سؤل"", ""zht"": ""首爾""}",One national capital selected for expanded purposive sample.,1159151523
MA,MA,Morocco,Rabat,34.025307,-6.836408,Africa,Northern Africa,MA,,"{""en"": ""Rabat"", ""de"": ""Rabat"", ""es"": ""Rabat"", ""fr"": ""Rabat"", ""pt"": ""Rabat"", ""ru"": ""Рабат"", ""zh"": ""拉巴特"", ""ar"": ""الرباط"", ""bn"": ""রাবাত"", ""el"": ""Ραμπάτ"", ""hi"": ""रबात"", ""hu"": ""Rabat"", ""id"": ""Rabat"", ""it"": ""Rabat"", ""ja"": ""ラバト"", ""ko"": ""라바트"", ""nl"": ""Rabat"", ""pl"": ""Rabat"", ""sv"": ""Rabat"", ""tr"": ""Rabat"", ""vi"": ""Rabat"", ""fa"": ""رباط"", ""he"": ""רבאט"", ""uk"": ""Рабат"", ""ur"": ""رباط"", ""zht"": ""拉巴特""}",One national capital selected for expanded purposive sample.,1159150673
MX,MX,Mexico,Mexico City,19.444388,-99.132934,North America,Central America,MX,Ciudad de M,"{""en"": ""Mexico City"", ""de"": ""Mexiko-Stadt"", ""es"": ""Ciudad de México"", ""fr"": ""Mexico"", ""pt"": ""Cidade do México"", ""ru"": ""Мехико"", ""zh"": ""墨西哥城"", ""ar"": ""مدينة مكسيكو"", ""bn"": ""মেক্সিকো সিটি"", ""el"": ""Πόλη του Μεξικού"", ""hi"": ""मेक्सिको नगर"", ""hu"": ""Mexikóváros"", ""id"": ""Kota Meksiko"", ""it"": ""Città del Messico"", ""ja"": ""メキシコシティ"", ""ko"": ""멕시코시티"", ""nl"": ""Mexico-Stad"", ""pl"": ""Meksyk"", ""sv"": ""Mexico City"", ""tr"": ""Meksiko"", ""vi"": ""Thành phố México"", ""fa"": ""مکزیکو سیتی"", ""he"": ""מקסיקו סיטי"", ""uk"": ""Мехіко"", ""ur"": ""میکسیکو شہر"", ""zht"": ""墨西哥城""}",One national capital selected for pilot,1159151587
MY,MY,Malaysia,Kuala Lumpur,3.168612,101.698037,Asia,South-Eastern Asia,MY,,"{""en"": ""Kuala Lumpur"", ""de"": ""Kuala Lumpur"", ""es"": ""Kuala Lumpur"", ""fr"": ""Kuala Lumpur"", ""pt"": ""Kuala Lumpur"", ""ru"": ""Куала-Лумпур"", ""zh"": ""吉隆坡"", ""ar"": ""كوالالمبور"", ""bn"": ""কুয়ালালামপুর"", ""el"": ""Κουάλα Λουμπούρ"", ""hi"": ""कुआलालम्पुर"", ""hu"": ""Kuala Lumpur"", ""id"": ""Kuala Lumpur"", ""it"": ""Kuala Lumpur"", ""ja"": ""クアラルンプール"", ""ko"": ""쿠알라룸푸르"", ""nl"": ""Kuala Lumpur"", ""pl"": ""Kuala Lumpur"", ""sv"": ""Kuala Lumpur"", ""tr"": ""Kuala Lumpur"", ""vi"": ""Kuala Lumpur"", ""fa"": ""کوالالامپور"", ""he"": ""קואלה לומפור"", ""uk"": ""Куала-Лумпур"", ""ur"": ""کوالا لمپور"", ""zht"": ""吉隆坡""}",National capital Kuala Lumpur; federal administrative centre Putrajaya excluded.,1159151317
NG,NG,Nigeria,Abuja,9.085279,7.531382,Africa,Western Africa,NG,,"{""en"": ""Abuja"", ""de"": ""Abuja"", ""es"": ""Abuya"", ""fr"": ""Abuja"", ""pt"": ""Abuja"", ""ru"": ""Абуджа"", ""zh"": ""阿布贾"", ""ar"": ""أبوجا"", ""bn"": ""আবুজা"", ""el"": ""Αμπούτζα"", ""hi"": ""अबुजा"", ""hu"": ""Abuja"", ""id"": ""Abuja"", ""it"": ""Abuja"", ""ja"": ""アブジャ"", ""ko"": ""아부자"", ""nl"": ""Abuja"", ""pl"": ""Abudża"", ""sv"": ""Abuja"", ""tr"": ""Abuja"", ""vi"": ""Abuja"", ""fa"": ""آبوجا"", ""he"": ""אבוג'ה"", ""uk"": ""Абуджа"", ""ur"": ""ابوجا"", ""zht"": ""阿布加""}",One national capital selected for pilot,1159150799
