id,place_a_id,place_b_id,true_distance_km
FR--IN,FR,IN,6600.894573294016
FR--JP,FR,JP,9737.965704971102
FR--KE,FR,KE,6470.452307387349
FR--MX,FR,MX,9207.427444723564
FR--NG,FR,NG,4437.067941067861
FR--NZ,FR,NZ,18980.580816307895
FR--SA,FR,SA,4695.389253154605
FR--TH,FR,TH,9456.38937182292
FR--US,FR,US,6177.576314828088
FR--ZA,FR,ZA,8652.154951764032
GB--IN,GB,IN,6724.002102971842
GB--JP,GB,JP,9584.855356731166
GB--KE,GB,KE,6804.487905463708
GB--MX,GB,MX,8941.67963886513
GB--NG,GB,NG,4755.038491838242
GB--NZ,GB,NZ,18806.422712162086
GB--SA,GB,SA,4954.835444629185
GB--TH,GB,TH,9543.363933383182
GB--US,GB,US,5912.468929291367
GB--ZA,GB,ZA,8991.386014264714
IN--JP,IN,JP,5855.550160203252
IN--KE,IN,KE,5427.9212039634995
IN--MX,IN,MX,14673.684770062055
IN--NG,IN,NG,7553.544289460008
IN--NZ,IN,NZ,12641.150365211413
IN--SA,IN,SA,3053.56116017884
IN--TH,IN,TH,2916.5977506210074
IN--US,IN,US,12068.739151501237
IN--ZA,IN,ZA,7970.766596356072
JP--KE,JP,KE,11264.009284773352
JP--MX,JP,MX,11318.783890147193
JP--NG,JP,NG,12973.378381681048
JP--NZ,JP,NZ,9244.785239978763
JP--SA,JP,SA,8708.898067343061
JP--TH,JP,TH,4607.791688159286
JP--US,JP,US,10926.417792606868
JP--ZA,JP,ZA,13501.046885089567
KE--MX,KE,MX,14829.575444959697
KE--NG,KE,NG,3444.024949628264
KE--NZ,KE,NZ,13676.249196022416
KE--SA,KE,SA,3062.992722793242
KE--TH,KE,TH,7217.238507509993
KE--US,KE,US,12147.187581604869
KE--ZA,KE,ZA,2855.2050138214963
MX--NG,MX,NG,11398.49344176858
MX--NZ,MX,NZ,11096.668791733968
MX--SA,MX,SA,13896.334176917055
MX--TH,MX,TH,15755.522525889133
MX--US,MX,US,3030.093510534221
MX--ZA,MX,ZA,14607.47105898857
NG--NZ,NG,NZ,16223.187399540882
NG--SA,NG,SA,4500.0833361671885
NG--TH,NG,TH,10098.775445297742
NG--US,NG,US,8912.837189115719
NG--ZA,NG,ZA,4454.133473532923
NZ--SA,NZ,SA,14909.574515612963
NZ--TH,NZ,TH,9738.52130758697
NZ--US,NZ,US,14074.670366616207
NZ--ZA,NZ,ZA,11827.417766624114
SA--TH,SA,TH,5743.87829967849
SA--US,SA,US,10867.268528060538
SA--ZA,SA,ZA,5917.429203536842
TH--US,TH,US,14169.831963403985
TH--ZA,TH,ZA,8961.095963147978
US--ZA,US,ZA,13024.504641792455
